wl,n
2.0096e+02,3.7874e+00
2.0240e+02,3.7871e+00
2.0386e+02,3.7868e+00
2.0533e+02,3.7865e+00
2.0681e+02,3.7862e+00
2.0830e+02,3.7860e+00
2.0980e+02,3.7857e+00
2.1131e+02,3.7854e+00
2.1283e+02,3.7851e+00
2.1437e+02,3.7849e+00
2.1591e+02,3.7846e+00
2.1747e+02,3.7843e+00
2.1903e+02,3.7841e+00
2.2061e+02,3.7838e+00
2.2220e+02,3.7836e+00
2.2380e+02,3.7833e+00
2.2541e+02,3.7831e+00
2.2704e+02,3.7829e+00
2.2867e+02,3.7826e+00
2.3032e+02,3.7824e+00
2.3198e+02,3.7822e+00
2.3365e+02,3.7819e+00
2.3533e+02,3.7817e+00
2.3703e+02,3.7815e+00
2.3873e+02,3.7813e+00
2.4045e+02,3.7811e+00
2.4218e+02,3.7808e+00
2.4393e+02,3.7806e+00
2.4569e+02,3.7804e+00
2.4746e+02,3.7802e+00
2.4924e+02,3.7800e+00
2.5103e+02,3.7798e+00
2.5284e+02,3.7796e+00
2.5466e+02,3.7794e+00
2.5650e+02,3.7793e+00
2.5835e+02,3.7791e+00
2.6021e+02,3.7789e+00
2.6208e+02,3.7787e+00
2.6397e+02,3.7785e+00
2.6587e+02,3.7783e+00
2.6778e+02,3.7782e+00
2.6971e+02,3.7780e+00
2.7166e+02,3.7778e+00
2.7361e+02,3.7777e+00
2.7558e+02,3.7775e+00
2.7757e+02,3.7773e+00
2.7957e+02,3.7772e+00
2.8158e+02,3.7770e+00
2.8361e+02,3.7769e+00
2.8565e+02,3.7767e+00
2.8771e+02,3.7765e+00
2.8978e+02,3.7764e+00
2.9187e+02,3.7762e+00
2.9397e+02,3.7761e+00
2.9609e+02,3.7760e+00
2.9822e+02,3.7758e+00
3.0037e+02,3.7757e+00
3.0254e+02,3.7755e+00
3.0471e+02,3.7754e+00
3.0691e+02,3.7753e+00
3.0912e+02,3.7751e+00
3.1135e+02,3.7750e+00
3.1359e+02,3.7749e+00
3.1585e+02,3.7748e+00
3.1812e+02,3.7746e+00
3.2041e+02,3.7745e+00
3.2272e+02,3.7744e+00
3.2505e+02,3.7743e+00
3.2739e+02,3.7741e+00
3.2975e+02,3.7740e+00
3.3212e+02,3.7739e+00
3.3451e+02,3.7738e+00
3.3692e+02,3.7737e+00
3.3935e+02,3.7736e+00
3.4180e+02,3.7735e+00
3.4426e+02,3.7734e+00
3.4674e+02,3.7733e+00
3.4923e+02,3.7731e+00
3.5175e+02,3.7730e+00
3.5428e+02,3.7729e+00
3.5684e+02,3.7728e+00
3.5941e+02,3.7727e+00
3.6199e+02,3.7726e+00
3.6460e+02,3.7726e+00
3.6723e+02,3.7725e+00
3.6987e+02,3.7724e+00
3.7254e+02,3.7723e+00
3.7522e+02,3.7722e+00
3.7792e+02,3.7721e+00
3.8065e+02,3.7720e+00
3.8339e+02,3.7719e+00
3.8615e+02,3.7718e+00
3.8893e+02,3.7717e+00
3.9173e+02,3.7717e+00
3.9455e+02,3.7716e+00
3.9740e+02,3.7715e+00
4.0026e+02,3.7714e+00
4.0314e+02,3.7713e+00
4.0605e+02,3.7713e+00
4.0897e+02,3.7712e+00
4.1192e+02,3.7711e+00
4.1488e+02,3.7710e+00
4.1787e+02,3.7710e+00
4.2088e+02,3.7709e+00
4.2391e+02,3.7708e+00
4.2697e+02,3.7708e+00
4.3004e+02,3.7707e+00
4.3314e+02,3.7706e+00
4.3626e+02,3.7705e+00
4.3940e+02,3.7705e+00
4.4257e+02,3.7704e+00
4.4576e+02,3.7704e+00
4.4897e+02,3.7703e+00
4.5220e+02,3.7702e+00
4.5546e+02,3.7702e+00
4.5874e+02,3.7701e+00
4.6204e+02,3.7700e+00
4.6537e+02,3.7700e+00
4.6872e+02,3.7699e+00
4.7210e+02,3.7699e+00
4.7550e+02,3.7698e+00
4.7893e+02,3.7698e+00
4.8237e+02,3.7697e+00
4.8585e+02,3.7696e+00
4.8935e+02,3.7696e+00
4.9287e+02,3.7695e+00
4.9642e+02,3.7695e+00
5.0000e+02,3.7694e+00
